accuracy,always_zero_accuracy,balanced_accuracy,batch,binding_gap_pp,chance,complete,composed_and_accuracy,condition,constant_zero_accuracy,d,data_protocol,elapsed_seconds,eval_every,eval_examples,eval_loss,exact_accuracy,family,head_dim,hops,id_count,layers,load,lr,metric,min_length,optimizer,out,parameters,query_blind_count_oracle_accuracy,query_format,scheduler,seed,sequence_length,state_dim,steps,task,test_examples,test_sha256,trainable_parameters,truth_00_accuracy,truth_00_exact_accuracy,truth_00_examples,truth_01_accuracy,truth_01_exact_accuracy,truth_01_examples,truth_10_accuracy,truth_10_exact_accuracy,truth_10_examples,truth_11_accuracy,truth_11_exact_accuracy,truth_11_examples,truth_table,updates,validation_sha256,values,weight_decay,width,worst_truth_exact_accuracy
1.0,0.75,1.0,32,27.089843749999986,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,10.124284359975718,100,1024,0.0002602145596029004,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d1-s123,23464,0.818115234375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,123,64,16,500,boolean,4096,fbc2dccdd165364c08c9a6ea46058a28529f78ec51bff3ebdd12fbdfe3aff9e3,23464,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,aa833f84c4a99253ece77744b61953ea7290fdd75b13d024dc03711b2edee62b,2,0.1,64,1.0
1.0,0.75,1.0,32,27.495117187499996,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,10.109624448930845,100,1024,0.00023503398347202165,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d1-s456,23464,0.807861328125,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,456,64,16,500,boolean,4096,8d46ffe4040fc9ac34bc7664a4d83dfcd492978d85921db0bbbe5a872d4edc92,23464,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,63b999d8756450dc5ee5dc4fc23383f4e7f43d31aac328b647c969c8f920bb18,2,0.1,64,1.0
1.0,0.75,1.0,32,27.480468749999986,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,10.106984323938377,100,1024,0.00023021736592454545,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d1-s789,23464,0.810302734375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,789,64,16,500,boolean,4096,aaa952988170da139e6e510dd84ced3ce64191ac41fcdbe3eaa3befccddff156,23464,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,e41e3d6cb5e78e838a940ecd8413f11b08f7c9fabd292c420a54c0203c0750fa,2,0.1,64,1.0
1.0,0.75,1.0,32,27.089843749999986,0.5,True,,direct_and,0.75,3,fresh independent per step; independent validation and final test,27.041340013965964,100,1024,0.0002499692640185458,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d3-s123,38200,0.818115234375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,123,64,16,500,boolean,4096,fbc2dccdd165364c08c9a6ea46058a28529f78ec51bff3ebdd12fbdfe3aff9e3,32568,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,aa833f84c4a99253ece77744b61953ea7290fdd75b13d024dc03711b2edee62b,2,0.1,64,1.0
1.0,0.75,1.0,32,27.495117187499996,0.5,True,,direct_and,0.75,3,fresh independent per step; independent validation and final test,27.316948545980267,100,1024,0.00026399467321880365,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d3-s456,38200,0.807861328125,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,456,64,16,500,boolean,4096,8d46ffe4040fc9ac34bc7664a4d83dfcd492978d85921db0bbbe5a872d4edc92,32568,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,63b999d8756450dc5ee5dc4fc23383f4e7f43d31aac328b647c969c8f920bb18,2,0.1,64,1.0
1.0,0.75,1.0,32,27.480468749999986,0.5,True,,direct_and,0.75,3,fresh independent per step; independent validation and final test,26.64879489899613,100,1024,0.00024645420262459083,1.0,gdn_current,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-gdn_current-d3-s789,38200,0.810302734375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,789,64,16,500,boolean,4096,aaa952988170da139e6e510dd84ced3ce64191ac41fcdbe3eaa3befccddff156,32568,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,e41e3d6cb5e78e838a940ecd8413f11b08f7c9fabd292c420a54c0203c0750fa,2,0.1,64,1.0
1.0,0.75,1.0,32,27.089843749999986,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,23.333433040999807,100,1024,0.00021479368501786666,1.0,mamba2,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-mamba2-d1-s123,58352,0.818115234375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,123,64,16,500,boolean,4096,fbc2dccdd165364c08c9a6ea46058a28529f78ec51bff3ebdd12fbdfe3aff9e3,58352,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,aa833f84c4a99253ece77744b61953ea7290fdd75b13d024dc03711b2edee62b,2,0.1,64,1.0
1.0,0.75,1.0,32,27.495117187499996,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,23.017425114987418,100,1024,0.00022422084339268622,1.0,mamba2,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-mamba2-d1-s456,58352,0.807861328125,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,456,64,16,500,boolean,4096,8d46ffe4040fc9ac34bc7664a4d83dfcd492978d85921db0bbbe5a872d4edc92,58352,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,63b999d8756450dc5ee5dc4fc23383f4e7f43d31aac328b647c969c8f920bb18,2,0.1,64,1.0
1.0,0.75,1.0,32,27.480468749999986,0.5,True,,direct_and,0.75,1,fresh independent per step; independent validation and final test,7.249643613002263,100,1024,0.00022372125624769978,1.0,mamba2,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-mamba2-d1-s789,58352,0.810302734375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,789,64,16,500,boolean,4096,aaa952988170da139e6e510dd84ced3ce64191ac41fcdbe3eaa3befccddff156,58352,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,e41e3d6cb5e78e838a940ecd8413f11b08f7c9fabd292c420a54c0203c0750fa,2,0.1,64,1.0
1.0,0.75,1.0,32,27.089843749999986,0.5,True,,direct_and,0.75,3,fresh independent per step; independent validation and final test,19.946397059015,100,1024,0.00023800537576335046,1.0,mamba2,16,0,16,2,4,0.01,full-vocabulary accuracy; exact answers and all four truth cases,64,AdamW,/u/archerdw/smat_attention/deltaai/results/boolean_recall/direct_and-w64-r4-t64-mamba2-d3-s123,99904,0.818115234375,QUERY keyA keyB ANSWER_A ANSWER_B; direct AND substitutes supplied bits for keys,cosine to zero,123,64,16,500,boolean,4096,fbc2dccdd165364c08c9a6ea46058a28529f78ec51bff3ebdd12fbdfe3aff9e3,93760,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,1.0,1.0,1024,00/01/10/11 equally frequent in each batch; shuffled example order,1,aa833f84c4a99253ece77744b61953ea7290fdd75b13d024dc03711b2edee62b,2,0.1,64,1.0
