PyTorch 2.11.0 for DeltaAI (CUDA 13.0, Python 3.12)
Includes: transformers, accelerate, datasets, peft, lightning,
          timm, bitsandbytes, diffusers, mpi4py, tensorboard,
          wandb, jupyter, scipy, scikit-learn, opencv, nvitop
New in this build (sm_90 source builds):
  flash-attn, transformer_engine, xformers, apex, mamba-ssm,
  triton, torch-geometric, cupy-cuda13x, tensorrt, flashinfer
Known: transformer_engine and cupy currently fail at import due to
  a cu13 libcublasLt / cython ABI mismatch on this stack — use the
  other attention paths (flash-attn, xformers) and stock torch CUDA
  until an upstream fix lands.

For documentation and examples:
  https://docs.ncsa.illinois.edu/systems/deltaai/

Run setup-kernel prior to launching OOD job.

Quick start (on a compute node):
  module load python/miniforge3_pytorch/2.11.0
  conda activate base
  python -c "import torch; print(torch.cuda.is_available())"

CUDA extensions: CUDA_HOME, nvcc, and CMAKE_PREFIX_PATH come from the
auto-loaded cuda/13.1.1 module.

A conda environment has been detected
CONDA_PREFIX=/sw/user/python/miniforge3-pytorch-2.5.0 
Consider running 'conda deactivate' before loading this module.
CUDA Toolkit 13.1.1 loaded
Includes GPUDirect Storage (GDS) libraries
Requires NVIDIA driver 590+
Using gcc-native/14 (default in Cray PE 25.09)
host: gh034.hsn.cm.delta.internal.ncsa.edu   started: Tue Sep  8 03:25:04 PM CDT 2026
name, memory.total [MiB], driver_version
NVIDIA GH200 120GB, 97871 MiB, 595.71.05
torch 2.11.0+cu130 cuda True
triton 3.5.1

    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='attention-dm16-lr1.0e-03'
valid/loss=8.33, valid/accuracy=0.000225, valid/num_kv_pairs/accuracy-4=0.00025, valid/num_kv_pairs/accuracy-8=0.00025, valid/num_kv_pairs/accuracy-16=0.000188, valid/num_kv_pairs/accuracy-32=0.000156, valid/num_kv_pairs/accuracy-64=0.000281, valid/num_kv_pairs/accuracy-128=0.000211, valid/num_kv_pairs/accuracy-256=0.000238
valid/loss=8.29, valid/accuracy=0.0003, valid/num_kv_pairs/accuracy-4=0.00025, valid/num_kv_pairs/accuracy-8=0.00025, valid/num_kv_pairs/accuracy-16=0.000313, valid/num_kv_pairs/accuracy-32=0.000406, valid/num_kv_pairs/accuracy-64=0.000297, valid/num_kv_pairs/accuracy-128=0.000359, valid/num_kv_pairs/accuracy-256=0.000223
valid/loss=8.19, valid/accuracy=0.000856, valid/num_kv_pairs/accuracy-4=0.002, valid/num_kv_pairs/accuracy-8=0.0015, valid/num_kv_pairs/accuracy-16=0.000875, valid/num_kv_pairs/accuracy-32=0.000531, valid/num_kv_pairs/accuracy-64=0.000484, valid/num_kv_pairs/accuracy-128=0.00032, valid/num_kv_pairs/accuracy-256=0.000281
valid/loss=6.91, valid/accuracy=0.214, valid/num_kv_pairs/accuracy-4=0.527, valid/num_kv_pairs/accuracy-8=0.436, valid/num_kv_pairs/accuracy-16=0.302, valid/num_kv_pairs/accuracy-32=0.154, valid/num_kv_pairs/accuracy-64=0.0714, valid/num_kv_pairs/accuracy-128=0.00258, valid/num_kv_pairs/accuracy-256=0.000906
valid/loss=6.06, valid/accuracy=0.441, valid/num_kv_pairs/accuracy-4=0.827, valid/num_kv_pairs/accuracy-8=0.759, valid/num_kv_pairs/accuracy-16=0.655, valid/num_kv_pairs/accuracy-32=0.485, valid/num_kv_pairs/accuracy-64=0.35, valid/num_kv_pairs/accuracy-128=0.00752, valid/num_kv_pairs/accuracy-256=0.00105
valid/loss=5.6, valid/accuracy=0.52, valid/num_kv_pairs/accuracy-4=0.903, valid/num_kv_pairs/accuracy-8=0.857, valid/num_kv_pairs/accuracy-16=0.774, valid/num_kv_pairs/accuracy-32=0.615, valid/num_kv_pairs/accuracy-64=0.48, valid/num_kv_pairs/accuracy-128=0.00909, valid/num_kv_pairs/accuracy-256=0.00127
valid/loss=5.34, valid/accuracy=0.547, valid/num_kv_pairs/accuracy-4=0.931, valid/num_kv_pairs/accuracy-8=0.892, valid/num_kv_pairs/accuracy-16=0.815, valid/num_kv_pairs/accuracy-32=0.663, valid/num_kv_pairs/accuracy-64=0.514, valid/num_kv_pairs/accuracy-128=0.00927, valid/num_kv_pairs/accuracy-256=0.00106
valid/loss=5.15, valid/accuracy=0.562, valid/num_kv_pairs/accuracy-4=0.942, valid/num_kv_pairs/accuracy-8=0.9, valid/num_kv_pairs/accuracy-16=0.834, valid/num_kv_pairs/accuracy-32=0.7, valid/num_kv_pairs/accuracy-64=0.547, valid/num_kv_pairs/accuracy-128=0.00905, valid/num_kv_pairs/accuracy-256=0.00105
valid/loss=4.96, valid/accuracy=0.591, valid/num_kv_pairs/accuracy-4=0.951, valid/num_kv_pairs/accuracy-8=0.919, valid/num_kv_pairs/accuracy-16=0.862, valid/num_kv_pairs/accuracy-32=0.763, valid/num_kv_pairs/accuracy-64=0.634, valid/num_kv_pairs/accuracy-128=0.00715, valid/num_kv_pairs/accuracy-256=0.0013
valid/loss=4.82, valid/accuracy=0.626, valid/num_kv_pairs/accuracy-4=0.963, valid/num_kv_pairs/accuracy-8=0.94, valid/num_kv_pairs/accuracy-16=0.897, valid/num_kv_pairs/accuracy-32=0.83, valid/num_kv_pairs/accuracy-64=0.741, valid/num_kv_pairs/accuracy-128=0.006, valid/num_kv_pairs/accuracy-256=0.00295
valid/loss=4.72, valid/accuracy=0.655, valid/num_kv_pairs/accuracy-4=0.977, valid/num_kv_pairs/accuracy-8=0.958, valid/num_kv_pairs/accuracy-16=0.928, valid/num_kv_pairs/accuracy-32=0.886, valid/num_kv_pairs/accuracy-64=0.823, valid/num_kv_pairs/accuracy-128=0.0091, valid/num_kv_pairs/accuracy-256=0.00624
